Name	WT_1_log2.cpm.	WT_2_log2.cpm.	DKO_1_log2.cpm.	DKO_2_log2.cpm.
Stx4a	72.70587295	64.48984067	66.76406999	72.90773614
Tmem81	5.509800186	6.671448351	5.966976107	6.547753453
Tra2b	135.6739563	187.532912	164.6204779	150.9576438
Txn2	173.8862444	158.5726333	179.5199041	159.3439021
Utp23	25.4219008	28.10977498	24.89872565	27.53128418
Vdac3	65.25425171	65.16385278	71.55595846	61.39290364
Vps45	26.35491255	27.28431654	28.28568099	24.28510805
Vps51	37.19405144	32.67238802	34.27298634	34.24923835
Wdr1	432.0336876	417.8959596	457.3009164	409.0121812
Zcchc18	6.611602545	5.676493425	6.342273093	5.6255728
Zfp146	27.7035701	32.76310081	29.85705573	31.8451111
Zfp35	27.62686587	33.75431415	27.79974992	35.06597653
Zfp952	17.8394595	20.30833418	19.4810563	19.50808151
Zkscan14	13.98685793	15.27393623	12.06704061	16.41565033
Zmym1	5.715976559	7.868016592	6.652976787	7.336032346
Cyp4f18	167.4979931	147.7485334	103.1786024	198.6382987
Faah	10.43963958	8.264915101	5.688309642	12.14255402
Pex5	35.92708551	33.56765848	31.8230454	36.32774727
Copa	419.056221	414.1472504	419.3467893	399.7626842
Zfp3	4.786595853	5.144389934	4.207607117	6.02098699
Mbp	80.44885597	76.58553365	69.9377753	84.27308301
Exoc1	26.90868529	36.05181531	31.34144952	33.05966041
Il17ra	227.8593877	237.7003142	228.0173826	229.762573
Khdrbs1	321.1269644	303.5941118	317.1452666	318.4669832
Optn	8.544523264	8.299359493	7.652865265	8.78474251
Smek1	77.54705027	100.4963992	91.3922547	90.25906947
Hadh	64.13322273	60.21287088	59.54877809	66.99585805
Atf2	43.80428202	55.79252733	46.14172389	51.37519288
Haus2	23.86790443	20.21003619	23.21523533	21.81124172
Trappc8	78.14057681	84.03975203	81.91183449	82.94022179
Igkv2-137	52.52746296	40.05748668	2.688869988	74.43968266
Arhgdia	860.4812823	792.9026845	825.4288194	798.9713717
Ryk	17.97599845	16.92401542	12.44936282	23.85136619
Cnep1r1	34.27298634	40.39206503	33.98909397	39.17876456
Psen2	75.95115505	69.11849983	66.53308385	75.95115505
Sipa1l3	12.95107546	12.57947667	13.14097121	11.84330638
Spred2	10.60740608	11.9174197	13.14097121	8.74828366
Ubl5	164.3924236	161.5682601	160.3410481	160.3410481
Slu7	78.30323463	78.24897777	73.7719262	80.22611331
Stx16	34.03624553	29.24260641	31.95566932	30.10643544
Kif3c	11.26675382	13.31517976	9.931419932	15.40151109
Med17	51.23294788	54.41754624	52.85617056	50.94963832
